thousand,千、千の,せん、せんの
pungent,舌や鼻を刺激する,したやはなをしげきする
grate,格子、格子状,こうし、こうしじょう
mumble,つぶやく,つぶやく
rendezvous,待ち合わせ、会合,まちあわせ、かいごう
wavelength,波長、波動の周期的な長さ,はちょう、はどうのしゅうきてきなながさ
summer,夏,なつ
seclude,引きこもらせる、隠とんさせる,ひきこもらせる、いんとんさせる
come in handy,助けになる、便利な,たすけになる、べんりな
righteousness,正義,せいぎ
insincere,誠意のない、不誠実な,せいいのない、ふせいじつな
unison,一致、合致,いっち、がっち
heredity,遺伝、相続,いでん、そうぞく
mobile,携帯の、移動できる。持ち運びができる、または移動できることを指します。例 a mobile phone(携帯電話),けいたいの、いどうできる。もちはこびができる、またはいどうできることをさします。れい a mobile phone(けいたいでんわ)
keep in mind,を心に留めておく,をこころにとめておく
paramount,最高の、最重要の,さいこうの、さいじゅうようの
down,下に,したに
eat up,食べつくす、使い果たす,たべつくす、つかいはたす
airborne,空輸の,くうゆの
rhapsodize,熱狂的に語る、賛美する,ねっきょうてきにかたる、さんびする
confederation,連合,れんごう
budget,予算、予算を組む。,よさん、よさんをくむ。
firsthand,直接的に、自分自身の経験で。,ちょくせつてきに、じぶんじしんのけいけんで。
abject,卑劣な,ひれつな
settle down,落ち着く,おちつく
potent,効能のある、効果的な,こうのうのある、こうかてきな
right away,直ちに、すぐに,ただちに、すぐに
in keeping with,を踏まえて,をふまえて
Mexican,メキシコの、メキシコ系の,めきしこの、めきしこけいの
zephyr,そよ風、軽い風,そよかぜ、かるいかぜ
centerpiece,最重要、最も重要,さいじゅうよう、もっともじゅうよう
stony,石の、石の多い,いしの、いしのおおい
extravagant,贅沢な、無駄遣いの,ぜいたくな、むだづかいの
participle,分詞,ぶんし
agitation,動揺,どうよう
prognosis,予後,よご
parental,親としての、親の権利の,おやとしての、おやのけんりの
resurgent,再び盛り返す、復活の,ふたたびもりかえす、ふっかつの
say,言う,いう
virtually,実質的に、事実上,じっしつてきに、じじつじょう
birthday,誕生日,たんじょうび
fastened,しっかりと固定された状態。,しっかりとこていされたじょうたい。
meadow,牧草地、草原,ぼくそうち、そうげん
premise,前提、根拠。ある結論を導き出すために前提とされる事柄。,ぜんてい、こんきょ。あるけつろんをみちびきだすためにぜんていとされることがら。
one day,ある日、いつか,あるにち、いつか
annul,無効にする、無効化する,むこうにする、むこうかする
starch,でんぷん,でんぷん
regulation,規制、規定,きせい、きてい
enumerate,列挙する,れっきょする
capacity,最大収容力や性能。,さいだいしゅうようりょくやせいのう。
friendly,友好的な、親切な,ゆうこうてきな、しんせつな
rebel against,に反抗する、対抗する,にはんこうする、たいこうする
bulky,かさばった、嵩高な,かさばった、かさだかな
connoisseur,鑑定家、評価家,かんていいえ、ひょうかいえ
bug,虫、プログラムの不具合,むし、ぷろぐらむのふぐあい
united,一つにまとまっている。,ひとつにまとまっている。
write,書く、手紙を書く,かく、てがみをかく
arms,武器、兵器、腕,ぶき、へいき、うで
medicine,薬、医学、治療薬。,くすり、いがく、ちりょうやく。
limp,のろのろ進む,のろのろすすむ
residue,残留物、残余,ざんりゅうぶつ、ざんよ
spatula,へら,へら
jewel,宝石,ほうせき
voucher,引換券、特定の商品の割引や証明。,ひきかえけん、とくていのしょうひんのわりびきやしょうめい。
incompetence,無能、無力,むのう、むりょく
sleek,つややかで滑らかな。,つややかでなめらかな。
arcane,不可思議な、神秘的な,ふかしぎな、しんぴてきな
bleed,出血する、血を流す,しゅっけつする、ちをながす
fumble,手探りする、取り損ねる、手間取る,てさぐりする、とりそこねる、てまどる
cup,カップ,かっぷ
catch cold,風邪を引く,かぜをひく
take care of,世話をする。,せわをする。
our,私たちの,わたしたちの
earnings,収益、稼ぎ,しゅうえき、かせぎ
ruling,支配的な、主要な、優勢な,しはいてきな、しゅような、ゆうせいな
counterfeit,偽造する、偽造品を作る,ぎぞうする、ぎぞうひんをつくる
in common,共通して、一般的に,きょうつうして、いっぱんてきに
in those days,当時は,とうじは
stick to,固執する、貫く。「自分の意見を貫く」「計画を堅持する」という文脈で使用。,こしつする、つらぬく。「じぶんのいけんをつらぬく」「けいかくをけんじする」というぶんみゃくでしよう。
educate,教育する、訓練する,きょういくする、くんれんする
manuscript,原稿,げんこう
cast a vote,投票する,とうひょうする
from scratch,最初から、初めから、最初から,さいしょから、はじめから、さいしょから
audacity,大胆さ,だいたんさ
vanguard,先駆者、最前線、先導者,せんくしゃ、さいぜんせん、せんどうもの
competitive edge,競争力の優位性,きょうそうりょくのゆういせい
lung,肺、呼吸器官,はい、こきゅうきかん
optic,目の、視力の、視覚の,めの、しりょくの、しかくの
rebellious,反抗的な、抵抗的な,はんこうてきな、ていこうてきな
count for,の価値がある、価値の高い、（～するに）値する,のかちがある、かちのたかい、(~するに)あたいする
old adage,古くからの格言,ふるくからのかくげん
flora,植物群,しょくぶつぐん
as american as apple pie,典型的なアメリカの,てんけいてきなあめりかの
as much as,できるだけ,できるだけ
fifteen,15,15
insult,侮辱する、はずかしめる,ぶじょくする、はずかしめる
look,見る,みる
agitate,を扇動する、揺り動かす,をせんどうする、ゆりうごかす
remembrance,記憶、思い出,きおく、おもいで
